1	60.0	3.5
2	70.0	3
3	60.0	3.5
4	70.0	3
5	60.0	3.5
6	70.0	3
7	60.0	3.5
8	70.0	3
9	60.0	3.5
10	70.0	3
11	60.0	3.5
12	70.0	3
13	60.0	3.5
14	70.0	3
15	60.0	3.5
16	70.0	3
17	60.0	3.5
18	70.0	3
19	60.0	3.5
20	70.0	3
21	60.0	3.5
22	70.0	3
23	60.0	3.5
24	70.0	3
25	60.0	3.5
26	70.0	3
27	60.0	3.5
28	70.0	3
29	60.0	3.5
30	70.0	3
31	60.0	3.5
32	70.0	3
33	60.0	3.5
34	70.0	3
35	60.0	3.5
36	70.0	3
37	60.0	3.5
38	70.0	3
39	60.0	3.5
40	140.0	3
41	60.0	3.5
42	70.0	3
43	60.0	3.5
44	70.0	3
45	60.0	3.5
46	70.0	3
47	60.0	3.5
48	70.0	3
49	60.0	3.5
50	70.0	3
51	60.0	3.5
52	70.0	3
53	60.0	3.5
54	70.0	3
55	60.0	3.5
56	70.0	3
57	60.0	3.5
58	70.0	3
59	60.0	3.5
60	70.0	3
61	60.0	3.5
62	70.0	3
63	60.0	3.5
64	70.0	3
65	60.0	3.5
66	70.0	3
67	60.0	3.5
68	70.0	3
69	60.0	3.5
70	70.0	3
71	60.0	3.5
72	70.0	3
73	60.0	3.5
74	70.0	3
75	60.0	3.5
76	70.0	3
77	60.0	3.5
78	70.0	3
79	60.0	3.5
80	70.0	3
